si_lat,si_lon,uj_lat,uj_lon,Z1,Z2
31.224783,-85.390789,31.18559,-85.34074,28.4,6.285021935483871
31.32389,-89.2922,31.32719,-89.2459,32.6,7.553429935483871
31.337204,-110.936718,31.33943,-110.97243,52.52777777777778,2.073007612903226
31.3492,-109.539683,31.29873,-109.56544,21.387096774193548,2.461532
31.513097,-82.749971,31.51874,-82.7394,21.3,6.970152258064515
31.5776,-84.0998,31.58836,-84.13202,36.65079365079365,7.844813225806452
31.765685,-106.455227,31.73068,-106.44778,48.774193548387096,4.842353870967743
31.768286,-106.501243,31.73068,-106.44778,37.5,4.842353870967743
31.787885,-106.683324,31.8151,-106.71302,24.548387096774192,4.3779825806451615
31.796218,-106.584434,31.82651,-106.587,26.444444444444443,5.996121612903226
31.870259,-102.334745,31.9045,-102.39526,24.82758620689655,5.367685483870967
32.003712,-106.599715,32.04073,-106.61376,28.289473684210527,4.922505161290323
32.090779,-81.130222,32.04867,-81.09367,37.03225806451613,8.919646774193549
32.110679,-81.161823,32.06736,-81.21886,27.03703703703704,7.998101935483871
32.29515,-110.9823,32.31366,-111.02219,21.30555555555556,5.545161935483871
32.322037,-106.768337,32.35073,-106.78108,18.29032258064516,6.991149032258064
32.322661,-111.038389,32.31366,-111.02219,26.88235294117647,5.545161935483871
32.329111,-90.182722,32.36238,-90.16535,35.51282051282051,9.296375161290324
32.346722,-90.225667,32.36238,-90.16535,31.096774193548388,9.296375161290324
32.412811,-86.263394,32.37306,-86.31683,28.0,8.23041806451613
32.4297,-84.9316,32.43867,-84.89117,29.1,6.893932903225807
32.437028,-84.999653,32.45292,-85.01781,29.80392156862745,8.09215129032258
32.471819,-93.795179,32.42228,-93.7422,29.363636363636363,8.079686129032257
32.482083,-97.026899,32.47155,-97.0639,12.333333333333334,9.339805806451611
32.4842,-84.9789,32.45292,-85.01781,33.6,8.09215129032258
32.509959,-92.046196,32.46693,-92.07713,22.7,6.740400322580645
32.521272,-84.944635,32.55982,-85.00099,32.2,6.80224870967742
32.6056,-83.5978,32.60798,-83.57104,35.45,7.593282258064516
32.631242,-117.059088,32.6597,-117.08677,29.142857142857142,6.741587419354839
32.664753,-97.337917,32.6868,-97.32043,25.2,8.794247741935482
32.669001,-94.167468,32.64878,-94.11709,24.25,5.979292419354839
32.67618,-115.48307,32.61613,-115.50321,58.34615384615385,6.005873225806452
32.690278,-114.61444,32.65939,-114.59894,29.483870967741936,6.647642258064516
32.726656,-103.122917,32.73109,-103.09624,23.0,5.550168709677419
32.759154,-97.342332,32.79469,-97.32088,27.444444444444443,8.630425483870967
32.774262,-96.797686,32.79499,-96.80747,34.22222222222222,9.563020645161291
32.777465,-83.640996,32.73051,-83.67901,28.33333333333333,8.140232580645161
32.789565,-116.944308,32.78857,-116.98969,43.19230769230769,6.281682580645161
32.790984,-79.958694,32.74126,-79.90453,26.967741935483872,7.769819032258064
